,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
683,HDFCBANK,EQ,1438.0,1438.0,1399.0,1416.0,1422.25,1425.05,7870096,11153473281.7,04-JAN-2021,177576,INE040A01034
684,HDFCLIFE,EQ,680.35,697.6,680.35,695.85,696.4,678.4,5031655,3469652310.5,04-JAN-2021,105364,INE795G01014
685,HDFCMFGETF,EQ,4513.75,4570.0,4513.75,4561.7,4569.0,4489.35,18178,82658358.05,04-JAN-2021,1214,INF179K01CN1
686,HDFCNIFETF,EQ,1477.6,1487.28,1470.5,1484.82,1485.5,1474.7,1704,2521830.84,04-JAN-2021,149,INF179KB1KP3
687,HDFCSENETF,EQ,5149.99,5159.99,5055.0,5089.54,5080.0,5102.32,411,2093172.54,04-JAN-2021,111,INF179KB1KQ1
689,HEG,EQ,948.0,968.0,937.5,960.85,962.0,944.45,956136,914334774.2,04-JAN-2021,25916,INE545A01016
690,HEIDELBERG,EQ,226.9,231.0,223.95,230.1,230.3,225.6,400162,91557669.75,04-JAN-2021,9430,INE578A01017
691,HEMIPROP,EQ,92.7,93.55,88.3,89.05,88.85,91.8,3622465,325888956.5,04-JAN-2021,21811,INE0AJG01018
692,HERCULES,EQ,122.7,125.0,120.8,122.95,122.1,122.6,102076,12569809.6,04-JAN-2021,1662,INE688E01024
693,HERITGFOOD,EQ,301.25,302.85,296.0,297.45,298.0,299.8,66780,19936115.9,04-JAN-2021,1783,INE978A01027
694,HEROMOTOCO,EQ,3112.0,3123.95,3037.25,3043.85,3052.0,3102.65,1599835,4896129990.6,04-JAN-2021,95769,INE158A01026
695,HESTERBIO,EQ,1696.1,1715.0,1682.25,1689.8,1695.0,1688.4,8590,14616360.05,04-JAN-2021,1309,INE782E01017
696,HEXATRADEX,EQ,35.0,35.4,33.65,35.4,35.4,33.75,693975,23886755.55,04-JAN-2021,778,INE750M01017
697,HFCL,EQ,26.15,27.75,25.6,26.9,27.0,25.9,17285013,463030027.95,04-JAN-2021,22266,INE548A01028
698,HGINFRA,EQ,225.0,232.0,225.0,228.75,228.9,220.6,160262,36670202.15,04-JAN-2021,4373,INE926X01010
699,HGS,EQ,1180.0,1182.95,1140.0,1164.9,1158.0,1163.65,19693,22905274.1,04-JAN-2021,2051,INE170I01016
700,HIKAL,EQ,167.5,174.4,167.1,172.25,172.4,166.9,1113872,191553057.55,04-JAN-2021,11939,INE475B01022
701,HIL,EQ,2191.35,2291.95,2188.0,2251.45,2248.0,2232.7,15863,35837172.4,04-JAN-2021,3233,INE557A01011
702,HILTON,EQ,11.85,12.0,11.65,11.95,11.95,11.6,10729,126428.9,04-JAN-2021,61,INE788H01017
703,HIMATSEIDE,EQ,139.6,145.25,139.5,144.2,145.0,139.6,536183,76648747.0,04-JAN-2021,9843,INE049A01027
704,HINDALCO,EQ,240.9,258.0,239.55,254.3,254.8,238.35,24902369,6199644820.35,04-JAN-2021,133973,INE038A01020
705,HINDCOMPOS,EQ,231.9,231.9,223.25,225.65,225.15,223.25,4653,1057784.4,04-JAN-2021,307,INE310C01029
706,HINDCOPPER,EQ,62.95,63.0,60.5,62.35,62.35,62.1,2309709,143629445.85,04-JAN-2021,9066,INE531E01026
707,HINDMOTORS,EQ,7.6,7.75,7.4,7.5,7.5,7.6,346467,2613615.05,04-JAN-2021,558,INE253A01025
708,HINDNATGLS,EQ,37.0,37.0,35.1,35.5,35.55,35.75,16834,599506.35,04-JAN-2021,202,INE952A01022
709,HINDOILEXP,EQ,88.3,89.7,82.95,84.15,84.0,87.4,1349067,116311229.7,04-JAN-2021,10720,INE345A01011
710,HINDPETRO,EQ,222.0,223.65,218.6,222.75,222.8,221.25,6574551,1457695196.15,04-JAN-2021,43876,INE094A01015
711,HINDUNILVR,EQ,2405.0,2430.0,2400.7,2426.5,2427.15,2387.55,1614486,3908075997.9,04-JAN-2021,101066,INE030A01027
712,HINDZINC,EQ,241.0,245.85,240.5,244.05,244.0,239.05,886735,215981405.05,04-JAN-2021,11921,INE267A01025
713,HIRECT,EQ,153.55,173.85,149.1,159.9,159.75,151.3,428381,70247798.45,04-JAN-2021,8686,INE835D01023
714,HISARMETAL,EQ,85.0,85.6,83.2,84.45,84.5,84.55,17443,1476711.5,04-JAN-2021,309,INE598C01011
715,HITECH,EQ,205.05,206.2,198.2,201.95,200.55,202.55,53401,10810860.8,04-JAN-2021,472,INE106T01017
716,HITECHCORP,EQ,119.95,122.95,114.2,119.35,117.0,117.45,4588,540922.3,04-JAN-2021,220,INE120D01012
718,HLVLTD,EQ,5.55,5.55,5.35,5.5,5.5,5.35,414066,2273121.25,04-JAN-2021,602,INE102A01024
720,HMVL,EQ,57.4,61.7,57.4,59.3,59.0,57.4,422851,25343241.25,04-JAN-2021,2024,INE871K01015
721,HNDFDS,EQ,1620.0,1650.0,1591.25,1601.05,1605.0,1612.45,28419,46043054.8,04-JAN-2021,3246,INE254N01018
722,HNGSNGBEES,EQ,370.6,370.6,350.01,354.46,357.8,349.62,1389,491553.24,04-JAN-2021,80,INF204KB19I1
723,HONAUT,EQ,37449.85,37486.85,36745.1,36852.4,37180.0,36986.85,5404,200025781.15,04-JAN-2021,3457,INE671A01010
724,HONDAPOWER,EQ,1053.85,1065.5,1038.05,1040.7,1044.0,1048.6,14786,15484775.6,04-JAN-2021,1352,INE634A01018
725,HOTELRUGBY,EQ,1.25,1.25,1.2,1.2,1.2,1.25,2498,3117.5,04-JAN-2021,7,INE275F01019
727,HPL,EQ,43.9,44.65,43.5,43.65,43.6,43.75,179531,7896833.0,04-JAN-2021,1156,INE495S01016
728,HSCL,EQ,45.0,45.9,44.05,45.4,45.4,44.3,4640434,209663113.9,04-JAN-2021,16886,INE019C01026
